CUPS;Fecha;Hora;Consumo_kWh;Metodo_obtencion
ES0000000000000000AA;23/12/2015;2;0,194;R
ES0000000000000000AA;23/12/2015;3;0,151;R
ES0000000000000000AA;23/12/2015;4;0,139;R
ES0000000000000000AA;23/12/2015;5;0,138;R
ES0000000000000000AA;23/12/2015;6;0,115;R
ES0000000000000000AA;23/12/2015;7;0,135;R
ES0000000000000000AA;23/12/2015;8;0,168;R
ES0000000000000000AA;23/12/2015;9;0,273;R
ES0000000000000000AA;23/12/2015;10;0,299;R
ES0000000000000000AA;23/12/2015;11;0,305;R
ES0000000000000000AA;23/12/2015;12;0,29;R
ES0000000000000000AA;23/12/2015;13;0,254;R
ES0000000000000000AA;23/12/2015;14;0,286;R
ES0000000000000000AA;23/12/2015;15;0,297;R
ES0000000000000000AA;23/12/2015;16;0,289;R
ES0000000000000000AA;23/12/2015;17;0,316;R
ES0000000000000000AA;23/12/2015;18;0,31;R
ES0000000000000000AA;23/12/2015;19;0,272;R
ES0000000000000000AA;23/12/2015;20;0,192;R
ES0000000000000000AA;23/12/2015;21;0,223;R
ES0000000000000000AA;23/12/2015;22;0,24;R
ES0000000000000000AA;23/12/2015;23;0,211;R
ES0000000000000000AA;23/12/2015;24;0,182;R
ES0000000000000000AA;24/12/2015;1;0,194;R
ES0000000000000000AA;24/12/2015;2;0,19;R
ES0000000000000000AA;24/12/2015;3;0,156;R
ES0000000000000000AA;24/12/2015;4;0,138;R
ES0000000000000000AA;24/12/2015;5;0,133;R
ES0000000000000000AA;24/12/2015;6;0,119;R
ES0000000000000000AA;24/12/2015;7;0,136;R
ES0000000000000000AA;24/12/2015;8;0,138;R
ES0000000000000000AA;24/12/2015;9;0,275;R
ES0000000000000000AA;24/12/2015;10;0,316;R
ES0000000000000000AA;24/12/2015;11;0,274;R
ES0000000000000000AA;24/12/2015;12;0,202;R
ES0000000000000000AA;24/12/2015;13;0,149;R
ES0000000000000000AA;24/12/2015;14;0,159;R
ES0000000000000000AA;24/12/2015;15;0,201;R
ES0000000000000000AA;24/12/2015;16;0,185;R
ES0000000000000000AA;24/12/2015;17;0,182;R
ES0000000000000000AA;24/12/2015;18;0,219;R
ES0000000000000000AA;24/12/2015;19;0,219;R
ES0000000000000000AA;24/12/2015;20;0,242;R
ES0000000000000000AA;24/12/2015;21;0,248;R
ES0000000000000000AA;24/12/2015;22;1,158;R
ES0000000000000000AA;24/12/2015;23;0,25;R
ES0000000000000000AA;24/12/2015;24;0,215;R
ES0000000000000000AA;25/12/2015;1;0,291;R
ES0000000000000000AA;25/12/2015;2;0,192;R
ES0000000000000000AA;25/12/2015;3;0,155;R
ES0000000000000000AA;25/12/2015;4;0,133;R
ES0000000000000000AA;25/12/2015;5;0,134;R
ES0000000000000000AA;25/12/2015;6;0,127;R
ES0000000000000000AA;25/12/2015;7;0,13;R
ES0000000000000000AA;25/12/2015;8;0,136;R
ES0000000000000000AA;25/12/2015;9;0,134;R
ES0000000000000000AA;25/12/2015;10;0,246;R
ES0000000000000000AA;25/12/2015;11;0,202;R
ES0000000000000000AA;25/12/2015;12;0,234;R
ES0000000000000000AA;25/12/2015;13;0,164;R
ES0000000000000000AA;25/12/2015;14;0,204;R
ES0000000000000000AA;25/12/2015;15;0,243;R
ES0000000000000000AA;25/12/2015;16;0,243;R
ES0000000000000000AA;25/12/2015;17;0,209;R
ES0000000000000000AA;25/12/2015;18;0,225;R
ES0000000000000000AA;25/12/2015;19;0,197;R
ES0000000000000000AA;25/12/2015;20;0,2;R
ES0000000000000000AA;25/12/2015;21;0,212;R
ES0000000000000000AA;25/12/2015;22;0,235;R
ES0000000000000000AA;25/12/2015;23;0,234;R
ES0000000000000000AA;25/12/2015;24;0,216;R
ES0000000000000000AA;26/12/2015;1;0,182;R
ES0000000000000000AA;26/12/2015;2;0,184;R
ES0000000000000000AA;26/12/2015;3;0,163;R
ES0000000000000000AA;26/12/2015;4;0,141;R
ES0000000000000000AA;26/12/2015;5;0,136;R
ES0000000000000000AA;26/12/2015;6;0,138;R
ES0000000000000000AA;26/12/2015;7;0,136;R
ES0000000000000000AA;26/12/2015;8;0,137;R
ES0000000000000000AA;26/12/2015;9;0,208;R
ES0000000000000000AA;26/12/2015;10;0,249;R
ES0000000000000000AA;26/12/2015;11;0,304;R
ES0000000000000000AA;26/12/2015;12;0,299;R
ES0000000000000000AA;26/12/2015;13;0,327;R
ES0000000000000000AA;26/12/2015;14;0,153;R
ES0000000000000000AA;26/12/2015;15;0,161;R
ES0000000000000000AA;26/12/2015;16;0,245;R
ES0000000000000000AA;26/12/2015;17;0,289;R
ES0000000000000000AA;26/12/2015;18;0,227;R
ES0000000000000000AA;26/12/2015;19;0,254;R
ES0000000000000000AA;26/12/2015;20;0,301;R
ES0000000000000000AA;26/12/2015;21;0,294;R
ES0000000000000000AA;26/12/2015;22;0,323;R
ES0000000000000000AA;26/12/2015;23;0,313;R
ES0000000000000000AA;26/12/2015;24;0,292;R
ES0000000000000000AA;27/12/2015;1;0,197;R
ES0000000000000000AA;27/12/2015;2;0,175;R
ES0000000000000000AA;27/12/2015;3;0,137;R
ES0000000000000000AA;27/12/2015;4;0,128;R
ES0000000000000000AA;27/12/2015;5;0,12;R
ES0000000000000000AA;27/12/2015;6;0,139;R
ES0000000000000000AA;27/12/2015;7;0,135;R
ES0000000000000000AA;27/12/2015;8;0,119;R
ES0000000000000000AA;27/12/2015;9;0,128;R
ES0000000000000000AA;27/12/2015;10;0,172;R
ES0000000000000000AA;27/12/2015;11;0,21;R
ES0000000000000000AA;27/12/2015;12;0,197;R
ES0000000000000000AA;27/12/2015;13;0,412;R
ES0000000000000000AA;27/12/2015;14;0,318;R
ES0000000000000000AA;27/12/2015;15;0,305;R
ES0000000000000000AA;27/12/2015;16;0,3;R
ES0000000000000000AA;27/12/2015;17;0,229;R
ES0000000000000000AA;27/12/2015;18;0,193;R
ES0000000000000000AA;27/12/2015;19;0,282;R
ES0000000000000000AA;27/12/2015;20;0,228;R
ES0000000000000000AA;27/12/2015;21;0,195;R
ES0000000000000000AA;27/12/2015;22;0,18;R
ES0000000000000000AA;27/12/2015;23;0,188;R
ES0000000000000000AA;27/12/2015;24;0,163;R
ES0000000000000000AA;28/12/2015;1;0,141;R
ES0000000000000000AA;28/12/2015;2;0,117;R
ES0000000000000000AA;28/12/2015;3;0,143;R
ES0000000000000000AA;28/12/2015;4;0,14;R
ES0000000000000000AA;28/12/2015;5;0,131;R
ES0000000000000000AA;28/12/2015;6;0,124;R
ES0000000000000000AA;28/12/2015;7;0,144;R
ES0000000000000000AA;28/12/2015;8;0,14;R
ES0000000000000000AA;28/12/2015;9;0,114;R
ES0000000000000000AA;28/12/2015;10;0,194;R
ES0000000000000000AA;28/12/2015;11;0,276;R
ES0000000000000000AA;28/12/2015;12;0,335;R
ES0000000000000000AA;28/12/2015;13;0,282;R
ES0000000000000000AA;28/12/2015;14;0,291;R
ES0000000000000000AA;28/12/2015;15;0,311;R
ES0000000000000000AA;28/12/2015;16;0,295;R
ES0000000000000000AA;28/12/2015;17;0,313;R
ES0000000000000000AA;28/12/2015;18;0,342;R
ES0000000000000000AA;28/12/2015;19;0,38;R
ES0000000000000000AA;28/12/2015;20;0,328;R
ES0000000000000000AA;28/12/2015;21;0,317;R
ES0000000000000000AA;28/12/2015;22;0,384;R
ES0000000000000000AA;28/12/2015;23;0,324;R
ES0000000000000000AA;28/12/2015;24;0,327;R
ES0000000000000000AA;29/12/2015;1;0,365;R
ES0000000000000000AA;29/12/2015;2;0,302;R
ES0000000000000000AA;29/12/2015;3;0,164;R
ES0000000000000000AA;29/12/2015;4;0,142;R
ES0000000000000000AA;29/12/2015;5;0,119;R
ES0000000000000000AA;29/12/2015;6;0,144;R
ES0000000000000000AA;29/12/2015;7;0,141;R
ES0000000000000000AA;29/12/2015;8;0,142;R
ES0000000000000000AA;29/12/2015;9;0,27;R
ES0000000000000000AA;29/12/2015;10;0,267;R
ES0000000000000000AA;29/12/2015;11;0,323;R
ES0000000000000000AA;29/12/2015;12;0,322;R
ES0000000000000000AA;29/12/2015;13;0,323;R
ES0000000000000000AA;29/12/2015;14;0,341;R
ES0000000000000000AA;29/12/2015;15;0,292;R
ES0000000000000000AA;29/12/2015;16;0,33;R
ES0000000000000000AA;29/12/2015;17;0,317;R
ES0000000000000000AA;29/12/2015;18;0,332;R
ES0000000000000000AA;29/12/2015;19;0,324;R
ES0000000000000000AA;29/12/2015;20;0,344;R
ES0000000000000000AA;29/12/2015;21;0,371;R
ES0000000000000000AA;29/12/2015;22;0,901;R
ES0000000000000000AA;29/12/2015;23;0,316;R
ES0000000000000000AA;29/12/2015;24;0,319;R
ES0000000000000000AA;30/12/2015;1;0,324;R
ES0000000000000000AA;30/12/2015;2;0,319;R
ES0000000000000000AA;30/12/2015;3;0,294;R
ES0000000000000000AA;30/12/2015;4;0,167;R
ES0000000000000000AA;30/12/2015;5;0,142;R
ES0000000000000000AA;30/12/2015;6;0,148;R
ES0000000000000000AA;30/12/2015;7;0,141;R
ES0000000000000000AA;30/12/2015;8;0,124;R
ES0000000000000000AA;30/12/2015;9;0,133;R
ES0000000000000000AA;30/12/2015;10;0,289;R
ES0000000000000000AA;30/12/2015;11;0,352;R
ES0000000000000000AA;30/12/2015;12;0,273;R
ES0000000000000000AA;30/12/2015;13;0,142;R
ES0000000000000000AA;30/12/2015;14;0,146;R
ES0000000000000000AA;30/12/2015;15;0,133;R
ES0000000000000000AA;30/12/2015;16;0,201;R
ES0000000000000000AA;30/12/2015;17;0,222;R
ES0000000000000000AA;30/12/2015;18;0,182;R
ES0000000000000000AA;30/12/2015;19;0,212;R
ES0000000000000000AA;30/12/2015;20;0,19;R
ES0000000000000000AA;30/12/2015;21;0,198;R
ES0000000000000000AA;30/12/2015;22;0,204;R
ES0000000000000000AA;30/12/2015;23;0,242;R
ES0000000000000000AA;30/12/2015;24;0,232;R
ES0000000000000000AA;31/12/2015;1;0,201;R
ES0000000000000000AA;31/12/2015;2;0,191;R
ES0000000000000000AA;31/12/2015;3;0,143;R
ES0000000000000000AA;31/12/2015;4;0,14;R
ES0000000000000000AA;31/12/2015;5;0,136;R
ES0000000000000000AA;31/12/2015;6;0,14;R
ES0000000000000000AA;31/12/2015;7;0,142;R
ES0000000000000000AA;31/12/2015;8;0,14;R
ES0000000000000000AA;31/12/2015;9;0,142;R
ES0000000000000000AA;31/12/2015;10;0,25;R
ES0000000000000000AA;31/12/2015;11;0,21;R
ES0000000000000000AA;31/12/2015;12;0,191;R
ES0000000000000000AA;31/12/2015;13;0,165;R
ES0000000000000000AA;31/12/2015;14;0,145;R
ES0000000000000000AA;31/12/2015;15;0,187;R
ES0000000000000000AA;31/12/2015;16;0,209;R
ES0000000000000000AA;31/12/2015;17;0,198;R
ES0000000000000000AA;31/12/2015;18;0,206;R
ES0000000000000000AA;31/12/2015;19;0,248;R
ES0000000000000000AA;31/12/2015;20;0,218;R
ES0000000000000000AA;31/12/2015;21;0,237;R
ES0000000000000000AA;31/12/2015;22;0,213;R
ES0000000000000000AA;31/12/2015;23;0,221;R
ES0000000000000000AA;31/12/2015;24;0,243;R
