CUPS;Fecha;Hora;Consumo_kWh;Metodo_obtencion
ES0000000000000000AA;05/12/2015;11;0,13;R
ES0000000000000000AA;05/12/2015;12;0,144;R
ES0000000000000000AA;05/12/2015;13;0,178;R
ES0000000000000000AA;05/12/2015;14;0,174;R
ES0000000000000000AA;05/12/2015;15;0,184;R
ES0000000000000000AA;05/12/2015;16;0,236;R
ES0000000000000000AA;05/12/2015;17;0,165;R
ES0000000000000000AA;05/12/2015;18;0,25;R
ES0000000000000000AA;05/12/2015;19;0,174;R
ES0000000000000000AA;05/12/2015;20;0,229;R
ES0000000000000000AA;05/12/2015;21;0,225;R
ES0000000000000000AA;05/12/2015;22;0,217;R
ES0000000000000000AA;05/12/2015;23;0,231;R
ES0000000000000000AA;05/12/2015;24;0,171;R
ES0000000000000000AA;06/12/2015;1;0,216;R
ES0000000000000000AA;06/12/2015;2;0,184;R
ES0000000000000000AA;06/12/2015;3;0,169;R
ES0000000000000000AA;06/12/2015;4;0,136;R
ES0000000000000000AA;06/12/2015;5;0,137;R
ES0000000000000000AA;06/12/2015;6;0,137;R
ES0000000000000000AA;06/12/2015;7;0,134;R
ES0000000000000000AA;06/12/2015;8;0,271;R
ES0000000000000000AA;06/12/2015;9;0,264;R
ES0000000000000000AA;06/12/2015;10;0,245;R
ES0000000000000000AA;06/12/2015;11;0,319;R
ES0000000000000000AA;06/12/2015;12;0,309;R
ES0000000000000000AA;06/12/2015;13;0,257;R
ES0000000000000000AA;06/12/2015;14;0,212;R
ES0000000000000000AA;06/12/2015;15;0,163;R
ES0000000000000000AA;06/12/2015;16;0,231;R
ES0000000000000000AA;06/12/2015;17;0,168;R
ES0000000000000000AA;06/12/2015;18;0,215;R
ES0000000000000000AA;06/12/2015;19;0,173;R
ES0000000000000000AA;06/12/2015;20;0,227;R
ES0000000000000000AA;06/12/2015;21;0,176;R
ES0000000000000000AA;06/12/2015;22;0,251;R
ES0000000000000000AA;06/12/2015;23;0,199;R
