Fecha;Hora;Gi;Ta;PFV
2015-1-8;1;0;8,9;0,00
2015-1-8;2;0;8,5;0,00
2015-1-8;3;0;8,2;0,00
2015-1-8;4;0;7,8;0,00
2015-1-8;5;0;7,5;0,00
2015-1-8;6;0;7,1;0,00
2015-1-8;7;0;6,8;0,00
2015-1-8;8;0;6,5;0,00
2015-1-8;9;34;7,2;7,92
2015-1-8;10;168;8,3;38,11
2015-1-8;11;451;9,9;96,91
2015-1-8;12;112;9,9;25,44
2015-1-8;13;134;10;30,32
2015-1-8;14;182;10,2;40,82
2015-1-8;15;154;10,2;34,70
2015-1-8;16;96;9,9;21,86
2015-1-8;17;109;9,4;24,83
2015-1-8;18;0;9,1;0,00
2015-1-8;19;0;8,8;0,00
2015-1-8;20;0;8,6;0,00
2015-1-8;21;0;8,3;0,00
2015-1-8;22;0;8;0,00
2015-1-8;23;0;7,7;0,00
2015-1-8;24;0;7,5;0,00
2015-1-9;1;0;7,2;0,00
2015-1-9;2;0;7;0,00
2015-1-9;3;0;6,9;0,00
2015-1-9;4;0;6,7;0,00
2015-1-9;5;0;6,5;0,00
2015-1-9;6;0;6,3;0,00
2015-1-9;7;0;6,1;0,00
2015-1-9;8;0;5,9;0,00
2015-1-9;9;129;6,9;29,64
2015-1-9;10;283;7,8;63,17
2015-1-9;11;453;8,8;97,84
2015-1-9;12;312;9,3;68,81
2015-1-9;13;188;9,4;42,29
2015-1-9;14;111;9,2;25,30
2015-1-9;15;19;8,5;4,41
2015-1-9;16;5;8;1,17
2015-1-9;17;0;7,5;0,00
2015-1-9;18;0;7,4;0,00
2015-1-9;19;0;7,4;0,00
2015-1-9;20;0;7,3;0,00
2015-1-9;21;0;7,3;0,00
2015-1-9;22;0;7,2;0,00
2015-1-9;23;0;7,2;0,00
2015-1-9;24;0;7,1;0,00
2015-1-10;1;0;7;0,00
2015-1-10;2;0;6,9;0,00
2015-1-10;3;0;6,8;0,00
2015-1-10;4;0;6,7;0,00
2015-1-10;5;0;6,5;0,00
2015-1-10;6;0;6,4;0,00
2015-1-10;7;0;6,3;0,00
2015-1-10;8;0;6,2;0,00
2015-1-10;9;22;6,9;5,14
2015-1-10;10;136;8;31,05
2015-1-10;11;115;8,6;26,27
2015-1-10;12;132;9;30,02
2015-1-10;13;152;9,3;34,41
2015-1-10;14;124;9,5;28,17
2015-1-10;15;276;9,8;61,09
2015-1-10;16;190;9,7;42,67
2015-1-10;17;124;9,3;28,19
2015-1-10;18;0;9;0,00
2015-1-10;19;0;8,8;0,00
2015-1-10;20;0;8,6;0,00
2015-1-10;21;0;8,4;0,00
2015-1-10;22;0;8,2;0,00
2015-1-10;23;0;8;0,00
2015-1-10;24;0;7,8;0,00
2015-1-11;1;0;7,5;0,00
2015-1-11;2;0;7,4;0,00
2015-1-11;3;0;7,2;0,00
2015-1-11;4;0;7;0,00
2015-1-11;5;0;6,8;0,00
2015-1-11;6;0;6,6;0,00
2015-1-11;7;0;6,4;0,00
2015-1-11;8;0;6,3;0,00
2015-1-11;9;115;7,6;26,40
2015-1-11;10;230;8,7;51,56
2015-1-11;11;468;10,3;100,07
2015-1-11;12;263;10,8;58,05
2015-1-11;13;317;11,3;69,18
2015-1-11;14;291;11,5;63,72
2015-1-11;15;516;11,9;108,55
2015-1-11;16;274;11,6;60,13
2015-1-11;17;143;10,8;32,19
2015-1-11;18;0;10,3;0,00
2015-1-11;19;0;9,7;0,00
2015-1-11;20;0;9,2;0,00
2015-1-11;21;0;8,6;0,00
2015-1-11;22;0;8,1;0,00
2015-1-11;23;0;7,5;0,00
2015-1-11;24;0;7;0,00
2015-1-12;1;0;6,3;0,00
2015-1-12;2;0;5,5;0,00
2015-1-12;3;0;4,8;0,00
2015-1-12;4;0;4;0,00
2015-1-12;5;0;3,3;0,00
2015-1-12;6;0;2,5;0,00
2015-1-12;7;0;1,8;0,00
2015-1-12;8;0;1;0,00
2015-1-12;9;15;1,4;3,60
2015-1-12;10;73;1,9;17,31
2015-1-12;11;298;2,9;67,93
2015-1-12;12;391;3,7;87,47
2015-1-12;13;491;4,3;107,74
2015-1-12;14;305;4,4;68,95
2015-1-12;15;562;4,6;121,70
2015-1-12;16;246;4,3;56,17
2015-1-12;17;0;3,4;0,00
2015-1-12;18;0;3,2;0,00
2015-1-12;19;0;3;0,00
2015-1-12;20;0;2,8;0,00
2015-1-12;21;0;2,6;0,00
2015-1-12;22;0;2,4;0,00
2015-1-12;23;0;2,1;0,00
2015-1-12;24;0;1,9;0,00
2015-1-13;1;0;2;0,00
2015-1-13;2;0;2,2;0,00
2015-1-13;3;0;2,4;0,00
2015-1-13;4;0;2,5;0,00
2015-1-13;5;0;2,7;0,00
2015-1-13;6;0;2,8;0,00
2015-1-13;7;0;3;0,00
2015-1-13;8;0;3,1;0,00
2015-1-13;9;8;3,5;1,90
2015-1-13;10;126;4,8;29,25
2015-1-13;11;236;5,9;53,56
2015-1-13;12;313;6,8;69,86
2015-1-13;13;778;8,4;159,19
2015-1-13;14;506;8,9;108,26
2015-1-13;15;427;9,1;92,49
2015-1-13;16;210;8,7;47,23
2015-1-13;17;131;8;29,94
2015-1-13;18;0;7,8;0,00
2015-1-13;19;0;7,7;0,00
2015-1-13;20;0;7,5;0,00
2015-1-13;21;0;7,4;0,00
2015-1-13;22;0;7,2;0,00
2015-1-13;23;0;7,1;0,00
2015-1-13;24;0;6,9;0,00
2015-1-14;1;0;6,6;0,00
2015-1-14;2;0;6,3;0,00
2015-1-14;3;0;6;0,00
2015-1-14;4;0;5,7;0,00
2015-1-14;5;0;5,4;0,00
2015-1-14;6;0;5;0,00
2015-1-14;7;0;4,7;0,00
2015-1-14;8;0;4,4;0,00
2015-1-14;9;25;5,2;5,88
2015-1-14;10;81;6;18,83
2015-1-14;11;82;6,4;19,03
2015-1-14;12;115;6,8;26,50
2015-1-14;13;126;7,1;28,94
2015-1-14;14;191;7,6;43,31
2015-1-14;15;142;7,7;32,44
2015-1-14;16;266;7,8;59,54
2015-1-14;17;66;7,3;15,29
2015-1-14;18;0;7;0,00
2015-1-14;19;0;6,7;0,00
2015-1-14;20;0;6,4;0,00
2015-1-14;21;0;6,1;0,00
2015-1-14;22;0;5,8;0,00
2015-1-14;23;0;5,5;0,00
2015-1-14;24;0;5,2;0,00
2015-1-15;1;0;5;0,00
2015-1-15;2;0;4,7;0,00
2015-1-15;3;0;4,4;0,00
2015-1-15;4;0;4,2;0,00
2015-1-15;5;0;3,9;0,00
